=== Main Taxonomy Map ===

--- Artist ---
  Fictional-Kw-e6589a7e: 4
  Fictional-Kw-f9e21b1d: 2
  Fictional-MarbleHelix: 1
  Fictional-SapphireShield: 1
  Fictional-QuartzMoon: 1
  Fictional-Kw-a4f47053: 1
  Fictional-CrystalGarden: 31
  Fictional-SmokyLotus: 1
  Fictional-GoldenCrown: 4
  Fictional-EmeraldCanyon: 2
  Fictional-Kw-5d34ea9d: 1
  Fictional-IvoryCipher: 1
  Fictional-Kw-46320a73: 13
  Fictional-RustyBloom: 1
  Fictional-GlassMirror: 1
  Fictional-AmberCrown: 9
  Fictional-JadeWhisper: 2
  Fictional-BlazingGate: 1
  Fictional-MistyPhoenix: 1
  Fictional-QuartzDrifter: 5
  Fictional-ZincHelix: 1
  Fictional-FrozenSpire: 1
  Fictional-Kw-413ae254: 23
  Fictional-Kw-1323f0a2: 2
  Fictional-QuartzForge: 1
  Fictional-ThistlePillar: 1
  Fictional-StormPillar: 17
  Fictional-GlassSummit: 2
  Fictional-Kw-9b12f358: 1
  Fictional-Kw-2b8fb12d: 12
  Fictional-IronJewel: 21
  Fictional-GraniteJewel: 1
  Fictional-Kw-d09970af: 9
  Fictional-VolcanicLeaf: 1
  Fictional-IndigoNeedle: 14
  Fictional-IronBloom: 1
  Fictional-SilverHelix: 1
  Fictional-IvorySummit: 4
  Fictional-Kw-63e50533: 1
  Fictional-ZincThorn: 1
  Fictional-CrystalEcho: 1
  Fictional-IronFalcon: 1
  Fictional-GildedLeaf: 1
  Fictional-Kw-35c86abb: 1
  Fictional-Kw-7d2529fc: 5
  Fictional-QuartzTower: 2
  Fictional-Kw-aa1a47b8: 1
  Fictional-MidnightFalcon: 1
  Fictional-ScarletOrchid: 1
  Fictional-VolcanicPhoenix: 5
  Fictional-VelvetSwan: 11
  Fictional-Kw-73c8ebb0: 12
  Fictional-PhantomChain: 7
  Fictional-CrystalCompass: 13
  Fictional-FrozenVoyage: 1
  Fictional-AzureWarden: 1
  Fictional-CoralFountain: 3
  Fictional-RustyGate: 4
  Fictional-ZincHelix: 2
  Fictional-ZincLighthouse: 1
  Fictional-TimberQuarry: 2
  Fictional-IndigoHorizon: 1
  Fictional-Kw-63e50533: 6
  Fictional-ObsidianWing: 25
  Fictional-EmeraldRiver: 3
  Fictional-GoldenTide: 1
  Fictional-MarblePrism: 1
  Fictional-Kw-73c8ebb0: 22
  Fictional-CrimsonOracle: 9
  Gayageum: 3
  Fictional-BlazingNeedle: 2
  Fictional-MistyVine: 1
  Fictional-Kw-95de3ee2: 1
  Fictional-QuartzFalcon: 1
  Fictional-Kw-d74744fa: 9
  Fictional-CrimsonFlame: 3
  Fictional-IronFrost: 4
  Guqin: 1
  Guzheng: 2
  Fictional-ThunderCastle: 1
  Fictional-GraniteSignal: 8
  Fictional-Kw-9b12f358: 1
  Fictional-BrassHaven: 1
  Fictional-Kw-91cf47fb: 1
  Fictional-GlassEcho: 1
  Fictional-Kw-7ab91294: 16
  Fictional-IvoryBeacon: 1
  Fictional-SterlingRiver: 1
  Fictional-Kw-b635505d: 2
  JoJo: 12
  JoJoRef: 195
  Fictional-QuartzDawn: 2
  Fictional-LunarFountain: 1
  Fictional-SpectralSpire: 1
  Fictional-IvoryShore: 1
  Fictional-Kw-b01be080: 1
  Fictional-PhantomWhisper: 1
  Koto: 1
  Fictional-BlazingGate: 1
  Fictional-RustyNest: 1
  Fictional-Kw-a4f47053: 17
  Fictional-ThunderRidge: 1
  Fictional-ThistleBloom: 1
  Fictional-FrozenRiver: 1
  Fictional-ThunderGhost: 6
  Fictional-VolcanicSignal: 1
  Fictional-MidnightSail: 1
  Fictional-ThunderNeedle: 1
  Fictional-GoldenTower: 5
  Fictional-CrimsonTide: 1
  Fictional-RustyNest: 1
  Fictional-SolarLantern: 10
  Fictional-ThistleCanyon: 1
  Fictional-IronBell: 6
  Fictional-Kw-27a8c129: 1
  Fictional-GildedFalcon: 2
  Fictional-NeonJewel: 4
  Fictional-Kw-7d2529fc: 17
  Fictional-IronHorn: 23
  Fictional-JasperGhost: 1
  Fictional-BlazingRidge: 1
  Fictional-IndigoFrost: 5
  Fictional-VelvetMesa: 1
  Fictional-FrozenFountain: 2
  Fictional-SapphireThorn: 1
  Fictional-EbonySummit: 1
  Fictional-ShadowTower: 44
  Fictional-ShadowWhisper: 4
  Fictional-VolcanicSwan: 1
  Fictional-EbonyTrail: 3
  Fictional-Kw-fe7f6252: 2
  Fictional-TimberWing: 1
  Fictional-ZincStone: 1
  Fictional-SpectralDawn: 2
  Fictional-GlassNeedle: 10
  Fictional-OpalGhost: 2
  Fictional-Kw-95de3ee2: 2
  Fictional-JasperSummit: 1
  Fictional-VelvetChain: 1
  Fictional-Kw-2970f75d: 8
  Fictional-IndigoGlacier: 1
  Fictional-Kw-1615229b: 2
  Fictional-GildedPillar: 6
  Fictional-BlazingBell: 1
  Fictional-SapphireShield: 3
  Fictional-Kw-48533a3e: 6
  Fictional-AmberShore: 9
  Fictional-ZincHelix: 4
  Fictional-ScarletTide: 63
  Fictional-Kw-63e50533: 5
  Fictional-Kw-77fb5f86: 38
  Fictional-TimberStrand: 49
  Fictional-FrozenCanyon: 1
